2025-09-20 23:32:08 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.004s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:32:22 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.010s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 23:32:39 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 5.634s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 23:32:47 - api_requests - INFO - log_api_request:158 - API Request - GET / | Status: 200 | Response Time: 0.001s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:32:47 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.007s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:33:53 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 11.130s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 23:34:08 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 11.620s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 23:34:20 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 8.177s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 23:34:22 - api_requests - INFO - log_api_request:158 - API Request - GET / | Status: 200 | Response Time: 0.001s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:34:22 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.005s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:35:25 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 32.245s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:35:25 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.004s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:36:42 - api_requests - INFO - log_api_request:158 - API Request - GET / | Status: 200 | Response Time: 0.001s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:36:42 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.012s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:40:34 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 59.192s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:40:34 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.007s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
